source_name,region,city,category,ownership,registration_type,annual_visitors,collection_count,exhibition_area_sqm,official_scale_score,data_confidence,source_reference_date,source_sheet,source_row,source_url
국립중앙박물관,서울,용산구,박물관,국립,1종,3788785,438365,22263.59,99.9,1.0,2025-01-01,박물관,10,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립민속박물관,서울,종로구,박물관,국립,1종,1045627,178999,5874.43,98.9,1.0,2025-01-01,박물관,11,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
대한민국역사박물관,서울,종로구,박물관,국립,1종,947274,174775,3344.71,98.4,1.0,2025-01-01,박물관,13,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립고궁박물관,서울,종로구,박물관,국립,1종,821906,88817,5634.0,98.1,1.0,2025-01-01,박물관,18,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립항공박물관,서울,강서구,박물관,국립,1종,365001,22530,6793.0,95.9,1.0,2025-01-01,박물관,26,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립한글박물관,서울,용산구,박물관,국립,1종,338787,89373,2190.0,95.4,1.0,2025-01-01,박물관,14,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립농업박물관,경기,수원시,박물관,국립,1종,565917,15802,3575.0,95.3,1.0,2025-01-01,박물관,325,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립현대미술관(과천관),경기,과천시,미술관,국립,1종,562604,11819,13788.2,94.6,1.0,2025-01-01,미술관,10,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서울역사박물관,서울,종로구,박물관,공립,1종,754677,373422,6328.0,94.5,1.0,2025-01-01,박물관,38,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국회박물관,서울,영등포구,박물관,국립,1종,284185,33552,2559.77,94.0,1.0,2025-01-01,박물관,22,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한성백제박물관,서울,송파구,박물관,공립,1종,637000,91167,2715.8,93.0,1.0,2025-01-01,박물관,48,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서울공예박물관,서울,종로구,박물관,공립,1종,652872,51719,2234.1,92.4,1.0,2025-01-01,박물관,33,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
전쟁기념관,서울,용산구,박물관,사립,1종,3074251,39021,40383.0,90.5,1.0,2025-01-01,박물관,97,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서대문자연사박물관,서울,서대문구,박물관,공립,1종,232324,53697,2667.0,89.7,1.0,2025-01-01,박물관,30,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서울시립미술관,서울,중구,미술관,공립,1종,1918799,6158,3283.39,89.3,1.0,2025-01-01,미술관,18,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한국만화박물관,경기,부천시,박물관,공립,1종,200473,249464,2099.0,89.1,1.0,2025-01-01,박물관,373,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립대한민국임시정부기념관,서울,서대문구,박물관,국립,1종,188095,9742,2385.35,89.0,1.0,2025-01-01,박물관,27,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립세계문자박물관,인천,연수구,박물관,국립,1종,1128818,1834,2740.92,88.6,1.0,2025-01-01,박물관,218,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
DDP디자인뮤지엄,서울,중구,미술관,공립,1종,855433,7024,1557.0,88.0,1.0,2025-01-01,미술관,16,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
송파책박물관,서울,송파구,박물관,공립,1종,326464,22982,1040.0,87.8,1.0,2025-01-01,박물관,42,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국토발전전시관,서울,중구,박물관,국립,1종,121163,18708,1392.8,87.1,1.0,2025-01-01,박물관,21,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서울생활사박물관,서울,노원구,박물관,공립,1종,280099,11033,1272.0,86.0,1.0,2025-01-01,박물관,36,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국립수목원 산림박물관,경기,포천시,박물관,국립,1종,167149,5399,2130.08,85.7,1.0,2025-01-01,박물관,321,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
리움미술관,서울,용산구,미술관,사립,1종,391414,10137,3284.0,85.3,1.0,2025-01-01,미술관,30,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
경기도자미술관,경기,이천시,미술관,공립,1종,135731,17027,1926.91,84.6,1.0,2025-01-01,미술관,135,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
인천광역시립박물관,인천,연수구,박물관,공립,1종,145961,21008,1495.0,84.6,1.0,2025-01-01,박물관,231,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
