directory_year,reference_date,source_name,institution_name,region,city,facility_type,ownership,registration_type,registration_status,registration_number,address,phone,official_url,opening_date,annual_visitors,collection_count,exhibition_area_sqm,official_scale_score,data_confidence,match_status,match_type,match_score,institution_id,closest_existing_name,source_sheet,source_row,source_url
2025,2025-01-01,국립중앙박물관,국립중앙박물관,서울,용산구,박물관,국립,1종,O,국립11-2012-04호,서울특별시 용산구 서빙고로 137,02-2077-9000,https://www.museum.go.kr,1945.12.03,3788785.0,438365.0,22263.59,99.9,1.0,matched,name_exact,1.0,1,국립중앙박물관,박물관,10,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립민속박물관,국립민속박물관,서울,종로구,박물관,국립,1종,O,국립11-2023-03호,서울특별시 종로구 삼청로 37,02-3704-3114,https://www.nfm.go.kr,1946.04.25,1045627.0,178999.0,5874.43,98.9,1.0,matched,name_exact,1.0,17,국립민속박물관,박물관,11,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,대한민국역사박물관,대한민국역사박물관,서울,종로구,박물관,국립,1종,O,국립11-2012-08호,서울특별시 종로구 세종대로 198,02-3703-9200,https://www.much.go.kr,2012.12.26,947274.0,174775.0,3344.71,98.4,1.0,matched,name_exact,1.0,20,대한민국역사박물관,박물관,13,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립한글박물관,국립한글박물관,서울,용산구,박물관,국립,1종,O,국립11-2013-06호,서울특별시 용산구 서빙고로 139,02-2124-6200,https://www.hangeul.go.kr,2014.10.09,338787.0,89373.0,2190.0,95.4,1.0,matched,name_exact,1.0,18,국립한글박물관,박물관,14,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립국악원 국악박물관,국립국악원 국악박물관,서울,서초구,박물관,국립,1종,O,국립12-2015-02호,서울특별시 서초구 남부순환로 2364,02-580-3130,https://www.gugak.go.kr,1995.02.23,80057.0,10014.0,1018.0,80.6,1.0,matched,name_exact,1.0,740,국립국악원 국악박물관,박물관,15,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립극장 공연예술박물관,국립극장 공연예술박물관,서울,중구,박물관,국립,1종,O,국립12-2014-01호,서울특별시 중구 장충단로 59,031-870-9118,https://www.ntok.go.kr/kr/Museum/Main/Index,2009.12.23,14081.0,504521.0,885.0,66.3,1.0,matched,name_exact,1.0,741,국립극장 공연예술박물관,박물관,16,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립경찰박물관,경찰박물관,서울,종로구,박물관,국립,1종,O,국립12-2022-03호,서울특별시 종로구 송월길 162,02-3150-3681,https://www.policemuseum.go.kr,2005.10.14,102281.0,16682.0,1078.2,84.4,1.0,matched,name_exact,1.0,50,경찰박물관,박물관,17,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립고궁박물관,국립고궁박물관,서울,종로구,박물관,국립,1종,O,국립12-2017-04호,서울특별시 종로구 효자로 12,02-3701-7500,https://www.gogung.go.kr,2006.08.15,821906.0,88817.0,5634.0,98.1,1.0,matched,name_exact,1.0,21,국립고궁박물관,박물관,18,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립관세박물관,국립관세박물관,서울,강남구,박물관,국립,1종,O,국립12-2001-02호,서울특별시 강남구 언주로 721,02-510-1089,https://www.customs.go.kr/seoul/main.do,2000.08.30,5218.0,4029.0,490.0,50.1,1.0,matched,name_exact,1.0,742,국립관세박물관,박물관,19,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립기상박물관,국립기상박물관,서울,종로구,박물관,국립,1종,O,국립12-2020-01호,서울특별시 종로구 송월길 52,070-7850-8495,https://science.kma.go.kr/museum,2020.10.30,16946.0,1123.0,429.54,54.1,1.0,matched,name_exact,1.0,22,국립기상박물관,박물관,20,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국토발전전시관,국토발전전시관,서울,중구,박물관,국립,1종,O,국립12-2017-03호,서울특별시 중구 정동길 18,02-3425-8900,https://www.molit.go.kr/molitum,2017.11.02,121163.0,18708.0,1392.8,87.1,1.0,matched,name_exact,1.0,743,국토발전전시관,박물관,21,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국회박물관,국회박물관,서울,영등포구,박물관,국립,1종,O,국립12-2015-03호,서울특별시 영등포구 의사당대로 1,02-6788-3664,https://museum.assembly.go.kr,1998.05.29,284185.0,33552.0,2559.77,94.0,1.0,matched,name_exact,1.0,744,국회박물관,박물관,22,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,석조전 대한제국역사관,석조전 대한제국역사관,서울,중구,박물관,국립,2종,O,국립21-2018-02호,서울특별시 중구 세종대로 99,02-771-9952,https://www.deoksugung.go.kr/,2014.10.13,45800.0,71.0,1170.0,57.7,1.0,matched,name_exact,1.0,745,석조전 대한제국역사관,박물관,23,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,육군박물관,육군박물관,서울,노원구,박물관,국립,1종,O,국립12-2001-01호,서울특별시 노원구 화랑로 574,02-2197-6608,https://museum.kma.ac.kr,1985.05.01,67215.0,15483.0,4574.0,84.4,1.0,matched,name_exact,1.0,746,육군박물관,박물관,24,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,한국영화박물관,한국영화박물관,서울,마포구,박물관,국립,1종,O,국립12-2015-04호,서울특별시 마포구 월드컵북로 400,02-3153-2072,https://www.koreafilm.or.kr/museum/main,2008.05.09,44728.0,1400083.0,673.0,78.0,1.0,matched,name_exact,1.0,747,한국영화박물관,박물관,25,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립항공박물관,국립항공박물관,서울,강서구,박물관,국립,1종,O,국립11-2022-01호,서울특별시 강서구 하늘길 177,02-6940-3198,https://www.aviation.or.kr,2020.07.05,365001.0,22530.0,6793.0,95.9,1.0,matched,name_exact,1.0,54,국립항공박물관,박물관,26,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,국립대한민국임시정부기념관,국립대한민국임시정부기념관,서울,서대문구,박물관,국립,1종,O,국립12-2022-02호,서울특별시 서대문구 통일로 279-24,02-772-8708,https://www.nmkpg.go.kr,2022.03.01,188095.0,9742.0,2385.35,89.0,1.0,matched,name_exact,1.0,748,국립대한민국임시정부기념관,박물관,27,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,둘리뮤지엄,둘리뮤지엄,서울,도봉구,박물관,공립,1종,O,서울-공립12-2015-06호,서울특별시 도봉구 시루봉로 1길 6,02-990-2200,https://www.doolymuseum.or.kr,2015.07.24,57434.0,466.0,1046.0,64.0,1.0,matched,name_exact,1.0,118,둘리뮤지엄,박물관,29,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,서대문자연사박물관,서대문자연사박물관,서울,서대문구,박물관,공립,1종,O,서울-공립11-2004-01호,서울특별시 서대문구 연희로 32길 51,02-330-8899,https://namu.sdm.go.kr,2003.07.10,232324.0,53697.0,2667.0,89.7,1.0,matched,name_exact,1.0,110,서대문자연사박물관,박물관,30,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,서대문형무소역사관,서대문형무소역사관,서울,서대문구,박물관,공립,1종,O,서울-공립12-2007-01호,서울특별시 서대문구 통일로 251,02-360-8590,https://www.sphh.sscmc.or.kr,1998.11.05,567608.0,429.0,2077.0,78.5,1.0,matched,name_exact,1.0,119,서대문형무소역사관,박물관,31,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,서소문성지 역사박물관,서소문성지 역사박물관,서울,중구,박물관,공립,1종,O,서울-공립12-2020-04호,서울특별시 중구 칠패로 5,02-3147-2404,https://www.seosomun.org,2019.06.01,205843.0,867.0,2641.27,77.8,1.0,matched,name_exact,1.0,111,서소문성지 역사박물관,박물관,32,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
2025,2025-01-01,서울공예박물관,서울공예박물관,서울,종로구,박물관,공립,1종,O,서울-공립12-2021-01호,서울특별시 종로구 율곡로 3길 4,02-6450-7000,https://craftmuseum.seoul.go.kr,2021.11.29,652872.0,51719.0,2234.1,92.4,1.0,matched,name_exact,1.0,9,서울공예박물관,박물관,33,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
